Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
reads	srst2	mdtN	mdtN.3003548.AP009048.4306556-4307588.3298	100.0	13.832	20snp		1.938	1032	0.143	623	1891	mdtN.3003548.AP009048.4306556_4307588.3298
reads	srst2	PmrE	PmrE.3003577.U00096.2098446-2099613.2116	100.0	11.937	37snp		3.171	1167	0.167	323	1123	PmrE.3003577.U00096.2098446_2099613.2116
reads	srst2	mdtL	mdtL.3001215.U00096.3891614-3892790.621	100.0	14.448	19snp		1.616	1176	0.111	621	1889	mdtL.3001215.U00096.3891614_3892790.621
reads	srst2	marA	marA.3000263.NC-007779.1621287-1621671.579	100.0	7.255	1snp		0.26	384	0.333	606	1874	marA.3000263.NC_007779.1621287_1621671.579
reads	srst2	mdtA	mdtA.3000792.U00096.2154015-2155263.15	99.519	14.012	28snp6indel	edge2.0	2.244	1248	0.333	612	1880	mdtA.3000792.U00096.2154015_2155263.15
reads	srst2	mdtP	mdtP.3003550.AP009048.4303042-4304509.3303	100.0	13.565	30snp	edge2.0	2.045	1467	0.2	625	1893	mdtP.3003550.AP009048.4303042_4304509.3303
reads	srst2	mdtO	mdtO.3003549.AP009048.4304505-4306557.3300	100.0	18.298	39snp		1.901	2052	0.333	624	1892	mdtO.3003549.AP009048.4304505_4306557.3300
reads	srst2	gyrB-1	gyrB.3003303.AP009048.3760295-3762710.2063	100.0	16.834	23snp		0.952	2415	0.429	573	1835	gyrB.3003303.AP009048.3760295_3762710.2063
reads	srst2	gadE	gadE.3003834.NC-000913.3.3658365-3658893.3597	100.0	9.826		edge2.0	0.0	528	0.1	554	1815	gadE.3003834.NC_000913.3.3658365_3658893.3597
reads	srst2	rpoB	rpoB.3003288.NC-002695.4990140-4994169.2096	100.0	18.961	39snp		0.968	4029	0.348	760	2045	rpoB.3003288.NC_002695.4990140_4994169.2096
reads	srst2	gadX	gadX.3000508.NC-007779.3974604-3975429.615	100.0	11.475	17snp		2.061	825	0.25	556	1817	gadX.3000508.NC_007779.3974604_3975429.615
reads	srst2	rrsB+	rrsC.3003333.U00096.3941808-3943349.3229	100.0	103.889	2snp		0.13	1542	0.48	766	2070	rrsC.3003333.U00096.3941808_3943349.3229
reads	srst2	sat-1	sat-1.3002895.AB211124.0-525.584	100.0	11.378			0.0	525	0.143	768	2074	sat_1.3002895.AB211124.0_525.584
reads	srst2	mfd	mfd.3003844.NC-000913.3.1170517-1173964.3609	100.0	13.369	29snp	edge2.0	0.841	3447	0.273	661	1932	mfd.3003844.NC_000913.3.1170517_1173964.3609
reads	srst2	acrE	acrE.3000499.U00096.3413863-3415021.333	100.0	17.863	14snp		1.209	1158	0.167	392	1608	acrE.3000499.U00096.3413863_3415021.333
reads	srst2	acrD	acrD.3000491.NC-007779.2586250-2589364.664	100.0	15.66	28snp		0.899	3114	0.167	391	1607	acrD.3000491.NC_007779.2586250_2589364.664
