Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
reads	srst2	mdtN	mdtN.3003548.AP009048.4306556-4307588.3298	100.0	11.249	20snp		1.938	1032	0.143	623	1891	mdtN.3003548.AP009048.4306556_4307588.3298
reads	srst2	PmrE	PmrE.3003577.U00096.2098446-2099613.2116	100.0	12.561	36snp		3.085	1167	0.25	323	1123	PmrE.3003577.U00096.2098446_2099613.2116
reads	srst2	mdtL	mdtL.3001215.U00096.3891614-3892790.621	100.0	13.25	21snp		1.786	1176	0.125	621	1889	mdtL.3001215.U00096.3891614_3892790.621
reads	srst2	marA	marA.3000263.NC-007779.1621287-1621671.579	100.0	7.87	1snp		0.26	384	0.167	606	1874	marA.3000263.NC_007779.1621287_1621671.579
reads	srst2	mdtP	mdtP.3003550.AP009048.4303042-4304509.3303	100.0	13.212	31snp		2.113	1467	0.333	625	1893	mdtP.3003550.AP009048.4303042_4304509.3303
reads	srst2	mdtO	mdtO.3003549.AP009048.4304505-4306557.3300	99.805	14.654	39snp4holes	edge2.0	1.904	2052	0.286	624	1892	mdtO.3003549.AP009048.4304505_4306557.3300
reads	srst2	gyrB-1	gyrB.3003303.AP009048.3760295-3762710.2063	99.917	14.037	21snp2holes	edge0.0	0.87	2415	0.4	573	1835	gyrB.3003303.AP009048.3760295_3762710.2063
reads	srst2	gadE	gadE.3003834.NC-000913.3.3658365-3658893.3597	100.0	13.185			0.0	528	0.083	554	1815	gadE.3003834.NC_000913.3.3658365_3658893.3597
reads	srst2	rpoB	rpoB.3003288.NC-002695.4990140-4994169.2096	100.0	16.405	39snp		0.968	4029	0.278	760	2045	rpoB.3003288.NC_002695.4990140_4994169.2096
reads	srst2	gadX	gadX.3000508.NC-007779.3974604-3975429.615	100.0	12.786	17snp		2.061	825	0.444	556	1817	gadX.3000508.NC_007779.3974604_3975429.615
reads	srst2	rrsB+	rrsB.3003403.U00096.4166659-4168200.3238	100.0	101.968	5snp		0.324	1542	0.495	766	2061	rrsB.3003403.U00096.4166659_4168200.3238
reads	srst2	marR	marR.3003378.U00096.1619119-1619554.2097	97.241	4.642	9snp12holes	depth4.642	2.128	435	0.4	607	1875	marR.3003378.U00096.1619119_1619554.2097
reads	srst2	mfd	mfd.3003844.NC-000913.3.1170517-1173964.3609	100.0	12.516	29snp		0.841	3447	0.2	661	1932	mfd.3003844.NC_000913.3.1170517_1173964.3609
reads	srst2	acrF	acrF.3000502.U00096.3415032-3418137.700	100.0	17.665	38snp		1.224	3105	0.5	393	1609	acrF.3000502.U00096.3415032_3418137.700
reads	srst2	acrE	acrE.3000499.U00096.3413863-3415021.333	100.0	14.672	14snp		1.209	1158	0.111	392	1608	acrE.3000499.U00096.3413863_3415021.333
reads	srst2	acrD	acrD.3000491.NC-007779.2586250-2589364.664	100.0	13.941	28snp		0.899	3114	0.167	391	1607	acrD.3000491.NC_007779.2586250_2589364.664
reads	srst2	acrS	acrS.3000656.U00096.3412802-3413465.551	100.0	14.208	8snp		1.207	663	0.143	397	1613	acrS.3000656.U00096.3412802_3413465.551
reads	srst2	acrR-2	acrR.3003807.NC-000913.3.485760-486408.3575	100.0	12.425	5snp		0.772	648	0.333	396	1612	acrR.3003807.NC_000913.3.485760_486408.3575
reads	srst2	baeS	baeS.3000829.AP009048.2165012-2166416.608	100.0	11.483	16snp		1.14	1404	0.333	434	1653	baeS.3000829.AP009048.2165012_2166416.608
reads	srst2	cysB	cysB.3003840.NC-000913.3.1333854-1334829.3604	100.0	9.852	6snp		0.615	975	0.143	490	1736	cysB.3003840.NC_000913.3.1333854_1334829.3604
reads	srst2	dfhr3b	dfhr3b.manually-added-AY162283-AAN85115.1-5616-6095	100.0	10.817			0.0	480	0.111	492	1738	dfhr3b.manually_added_AY162283_AAN85115.1_5616_6095
reads	srst2	H-NS	H-NS.3000676.NC-002695.1737553-1737967.218	100.0	8.651	4snp		0.966	414	0.2	204	579	H_NS.3000676.NC_002695.1737553_1737967.218
reads	srst2	evgS	evgS.3000833.U00096.2484373-2487967.178	100.0	15.334	89snp		2.476	3594	0.143	542	1799	evgS.3000833.U00096.2484373_2487967.178
reads	srst2	murA-12	murA.3003775.CP009072.1414817-1416077.3548	100.0	15.256	18snp		1.429	1260	0.1	690	1971	murA.3003775.CP009072.1414817_1416077.3548
reads	srst2	tolC	tolC.3000237.FJ768952.0-1488.563	100.0	15.359	19snp		1.277	1488	0.133	837	2151	tolC.3000237.FJ768952.0_1488.563
reads	srst2	emrE-1	emrE.3000264.NC-007779.567537-567870.260	95.796	5.569	23snp14holes	edge0.0	7.21	333	0.25	536	1793	emrE.3000264.NC_007779.567537_567870.260
reads	srst2	parE-1	parE.3003316.NC-007779.3172159-3174052.2073	100.0	16.939	46snp		2.43	1893	0.5	731	2008	parE.3003316.NC_007779.3172159_3174052.2073
reads	srst2	Escherichia-coli-mutant	Escherichia-coli-mutant.3003890.HG738867.2934266-2935658.3667	99.928	14.78	8snp1indel		0.575	1392	0.188	183	526	Escherichia_coli_mutant.3003890.HG738867.2934266_2935658.3667
reads	srst2	evgA	evgA.3000832.NC-002695.3211891-3212506.208	100.0	10.922	5snp		0.813	615	0.083	541	1798	evgA.3000832.NC_002695.3211891_3212506.208
reads	srst2	patA	patA.3000024.NC-000913.3.3219493-3220873.3692	100.0	12.625	5snp		0.362	1380	0.5	735	2012	patA.3000024.NC_000913.3.3219493_3220873.3692
reads	srst2	Escherichia-coli-mutant-1	Escherichia-coli-mutant.3003889.HG738867.2233288-2234647.3666	100.0	13.69	2snp		0.147	1359	0.4	184	525	Escherichia_coli_mutant.3003889.HG738867.2233288_2234647.3666
reads	srst2	mdtB	mdtB.3000793.U00096.2155262-2158385.215	100.0	15.528	33snp	edge2.0	1.057	3123	0.231	613	1881	mdtB.3000793.U00096.2155262_2158385.215
reads	srst2	adiY	adiY.3003828.NC-000913.3.4337167-4337929.3591	100.0	13.317	3snp		0.394	762	0.222	410	1626	adiY.3003828.NC_000913.3.4337167_4337929.3591
reads	srst2	folP-1	folP.3003386.NC-007779.3323917-3324766.2056	100.0	9.833	6snp	edge1.5	0.707	849	0.333	549	1809	folP.3003386.NC_007779.3323917_3324766.2056
reads	srst2	arnA-1	arnA.3002985.U00096.2368038-2370021.355	100.0	14.351	34snp	edge1.0	1.715	1983	0.375	425	1643	arnA.3002985.U00096.2368038_2370021.355
reads	srst2	Escherichia-coli-EF-Tu	Escherichia-coli-EF-Tu.3003368.AH002539.2.1760-2945.3531	100.0	30.391	5snp		0.422	1185	0.5	182	522	Escherichia_coli_EF_Tu.3003368.AH002539.2.1760_2945.3531
reads	srst2	kdpE	kdpE.3003841.NC-000913.3.721055-721733.3608	100.0	9.57	12snp		1.77	678	0.25	586	1851	kdpE.3003841.NC_000913.3.721055_721733.3608
reads	srst2	gyrA-7	gyrA.3003294.U00096.2336792-2339420.2052	99.962	14.393	33snp1indel	edge2.0	1.256	2628	0.2	569	1821	gyrA.3003294.U00096.2336792_2339420.2052
reads	srst2	mdtG	mdtG.3001329.NC-007779.1115840-1117067.599	91.932	10.666	7snp99holes	edge1.0	0.621	1227	0.4	618	1886	mdtG.3001329.NC_007779.1115840_1117067.599
reads	srst2	mdtH	mdtH.3001216.U00096.1124117-1125326.120	100.0	11.466	22snp		1.82	1209	0.25	619	1887	mdtH.3001216.U00096.1124117_1125326.120
reads	srst2	PmrF	PmrF.3003578.U00096.2367070-2368039.2115	100.0	12.919	6snp		0.619	969	0.348	324	1124	PmrF.3003578.U00096.2367070_2368039.2115
reads	srst2	mdtA	mdtA.3000792.U00096.2154015-2155263.15	99.519	13.655	27snp6indel	edge1.0	2.163	1248	0.2	612	1880	mdtA.3000792.U00096.2154015_2155263.15
reads	srst2	Pasteurella-multocida-16S	Pasteurella-multocida-16S.3003493.NC-002663.1.341427-342977.3252	93.166	59.032	119snp5indel102holes	edge0.0	8.213	1551	0.5	317	1117	Pasteurella_multocida_16S.3003493.NC_002663.1.341427_342977.3252
reads	srst2	msbA	msbA.3003950.NC-000913.3.966620-968369.3754	100.0	15.178	23snp		1.315	1749	0.333	677	1948	msbA.3003950.NC_000913.3.966620_968369.3754
reads	srst2	ompF	ompF.3003390.NC-007779.986315-987404.2075	100.0	12.771	1snp		0.092	1089	0.25	713	1988	ompF.3003390.NC_007779.986315_987404.2075
reads	srst2	mdtF	mdtF.3000796.U00096.3660413-3663527.286	100.0	15.832	46snp		1.477	3114	0.25	617	1885	mdtF.3000796.U00096.3660413_3663527.286
reads	srst2	mdtC	mdtC.3000794.U00096.2158385-2161463.257	100.0	16.066	40snp		1.3	3078	0.333	614	1882	mdtC.3000794.U00096.2158385_2161463.257
reads	srst2	mdfA	mdfA.3001328.JQ394987.0-1233.561	99.676	9.709	32snp4indel	edge2.0	2.595	1233	0.5	608	1876	mdfA.3001328.JQ394987.0_1233.561
reads	srst2	aadA13	aadA13.3002613.NG-036525.633-1431.3363	91.103	7.758	63snp1indel71holes	edge0.0	8.666	798	0.167	380	1579	aadA13.3002613.NG_036525.633_1431.3363
reads	srst2	CRP	CRP.3000518.AP009048.4153663-4154296.461	100.0	14.399	4snp		0.632	633	0.125	122	302	CRP.3000518.AP009048.4153663_4154296.461
reads	srst2	gadW	gadW.3003838.CP015085.1.2551711-2552440.3599	100.0	12.808	42snp		5.761	729	0.083	555	1816	gadW.3003838.CP015085.1.2551711_2552440.3599
reads	srst2	nfsA	nfsA.3003751.NC-000913.3.891183-891906.3520	100.0	6.093	7snp		0.968	723	0.5	702	1977	nfsA.3003751.NC_000913.3.891183_891906.3520
reads	srst2	cpxR	cpxR.3000831.NC-002695.4904931-4905630.142	100.0	14.671	4snp		0.572	699	0.25	489	1735	cpxR.3000831.NC_002695.4904931_4905630.142
reads	srst2	aadA-	aadA2.3002602.AF156486.5012-5792.3404	91.026	6.755	65snp70holes	edge0.0	9.155	780	0.167	378	1584	aadA2.3002602.AF156486.5012_5792.3404
reads	srst2	mdtD	mdtD.3001330.U00096.2161463-2162879.299	100.0	12.023	23snp		1.624	1416	0.333	615	1883	mdtD.3001330.U00096.2161463_2162879.299
reads	srst2	PmrB-1	PmrB.3003583.NC-007779.4336858-4337950.2119	100.0	11.871	9snp		0.824	1092	0.133	321	1121	PmrB.3003583.NC_007779.4336858_4337950.2119
reads	srst2	alaS	alaS.3003830.NC-000913.3.2819380-2822011.3592	100.0	16.246	28snp		1.064	2631	0.143	411	1627	alaS.3003830.NC_000913.3.2819380_2822011.3592
reads	srst2	soxS-1	soxS.3003511.NC-000913.4277059-4277383.3528	99.691	7.515	1snp1holes	edge1.5	0.31	324	0.125	785	2091	soxS.3003511.NC_000913.4277059_4277383.3528
reads	srst2	soxR	soxR.3003381.U00096.4277468-4277933.2074	92.903	9.527	33holes	edge0.0	0.0	465	0.25	782	2088	soxR.3003381.U00096.4277468_4277933.2074
reads	srst2	bacA	bacA.3002986.U00096.3203309-3204131.36	99.757	11.465	12snp2holes	edge0.0	1.463	822	0.2	432	1651	bacA.3002986.U00096.3203309_3204131.36
reads	srst2	sul1	sul1.manually-added-NC-002134-NP-052895.3-12192-13058	100.0	19.291	trun		0.0	867	0.143	788	2097	sul1.manually_added_NC_002134_NP_052895.3_12192_13058
reads	srst2	baeR	baeR.3000828.NC-007779.2166412-2167135.676	100.0	13.554	17snp		2.351	723	0.4	433	1652	baeR.3000828.NC_007779.2166412_2167135.676
reads	srst2	emrK	emrK.3000206.D78168.536-1592.173	100.0	12.728	19snp		1.799	1056	0.154	537	1794	emrK.3000206.D78168.536_1592.173
reads	srst2	parC-2	parC.3003941.NC-004337.2.3159154-3161413.3742	99.69	16.404	15snp7holes	edge2.0	0.666	2259	0.333	727	2005	parC.3003941.NC_004337.2.3159154_3161413.3742
reads	srst2	emrD	emrD.3000309.GG749185.1.116812-118003.3622	100.0	15.185	17snp	edge2.0	1.427	1191	0.333	534	1791	emrD.3000309.GG749185.1.116812_118003.3622
