Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
reads	srst2	mdtN	mdtN.3003548.AP009048.4306556-4307588.3298	100.0	15.634	19snp		1.841	1032	0.167	623	1891	mdtN.3003548.AP009048.4306556_4307588.3298
reads	srst2	mdtL	mdtL.3001215.U00096.3891614-3892790.621	100.0	10.28	18snp	edge2.0	1.531	1176	0.2	621	1889	mdtL.3001215.U00096.3891614_3892790.621
reads	srst2	marA	marA.3000263.NC-007779.1621287-1621671.579	100.0	5.195	1snp	edge2.0	0.26	384	0.0	606	1874	marA.3000263.NC_007779.1621287_1621671.579
reads	srst2	mdtP	mdtP.3003550.AP009048.4303042-4304509.3303	100.0	15.316	30snp	edge2.0	2.045	1467	0.2	625	1893	mdtP.3003550.AP009048.4303042_4304509.3303
reads	srst2	mdtO	mdtO.3003549.AP009048.4304505-4306557.3300	100.0	16.849	38snp		1.852	2052	0.214	624	1892	mdtO.3003549.AP009048.4304505_4306557.3300
reads	srst2	gyrB-1	gyrB.3003303.AP009048.3760295-3762710.2063	100.0	12.825	22snp	edge2.0	0.911	2415	0.5	573	1835	gyrB.3003303.AP009048.3760295_3762710.2063
reads	srst2	gadE	gadE.3003834.NC-000913.3.3658365-3658893.3597	100.0	7.025		edge2.0	0.0	528	0.2	554	1815	gadE.3003834.NC_000913.3.3658365_3658893.3597
reads	srst2	rpoB	rpoB.3003288.NC-002695.4990140-4994169.2096	100.0	14.78	39snp		0.968	4029	0.308	760	2045	rpoB.3003288.NC_002695.4990140_4994169.2096
reads	srst2	gadX	gadX.3000508.NC-007779.3974604-3975429.615	100.0	9.404	19snp		2.303	825	0.4	556	1817	gadX.3000508.NC_007779.3974604_3975429.615
reads	srst2	rrsB+	rrsC.3003333.U00096.3941808-3943349.3229	100.0	89.165	1snp		0.065	1542	0.44	766	2070	rrsC.3003333.U00096.3941808_3943349.3229
reads	srst2	marR	marR.3003378.U00096.1619119-1619554.2097	100.0	4.544	10snp	edge2.0	2.299	435	0.25	607	1875	marR.3003378.U00096.1619119_1619554.2097
reads	srst2	mfd	mfd.3003844.NC-000913.3.1170517-1173964.3609	100.0	9.311	29snp	edge2.0	0.841	3447	0.5	661	1932	mfd.3003844.NC_000913.3.1170517_1173964.3609
reads	srst2	acrF	acrF.3000502.U00096.3415032-3418137.700	100.0	13.966	38snp		1.224	3105	0.353	393	1609	acrF.3000502.U00096.3415032_3418137.700
reads	srst2	acrE	acrE.3000499.U00096.3413863-3415021.333	100.0	13.526	14snp	edge2.0	1.209	1158	0.167	392	1608	acrE.3000499.U00096.3413863_3415021.333
reads	srst2	acrD	acrD.3000491.NC-007779.2586250-2589364.664	100.0	10.361	28snp	edge1.0	0.899	3114	0.286	391	1607	acrD.3000491.NC_007779.2586250_2589364.664
reads	srst2	acrS	acrS.3000656.U00096.3412802-3413465.551	100.0	6.893	8snp		1.207	663	0.1	397	1613	acrS.3000656.U00096.3412802_3413465.551
reads	srst2	acrR-2	acrR.3003807.NC-000913.3.485760-486408.3575	100.0	6.213	3snp	edge1.0	0.463	648	0.25	396	1612	acrR.3003807.NC_000913.3.485760_486408.3575
reads	srst2	baeS	baeS.3000829.AP009048.2165012-2166416.608	99.786	11.439	16snp3holes	edge0.0	1.142	1404	0.2	434	1653	baeS.3000829.AP009048.2165012_2166416.608
reads	srst2	cysB	cysB.3003840.NC-000913.3.1333854-1334829.3604	99.487	6.533	7snp5holes	edge0.0	0.722	975	0.25	490	1736	cysB.3003840.NC_000913.3.1333854_1334829.3604
reads	srst2	H-NS	H-NS.3000676.NC-002695.1737553-1737967.218	99.275	5.51	4snp3holes		0.973	414	0.2	204	579	H_NS.3000676.NC_002695.1737553_1737967.218
reads	srst2	evgS	evgS.3000833.U00096.2484373-2487967.178	100.0	10.118	88snp		2.449	3594	0.2	542	1799	evgS.3000833.U00096.2484373_2487967.178
reads	srst2	murA-12	murA.3003775.CP009072.1414817-1416077.3548	100.0	11.979	19snp	edge2.0	1.508	1260	0.143	690	1971	murA.3003775.CP009072.1414817_1416077.3548
reads	srst2	tolC	tolC.3000237.FJ768952.0-1488.563	100.0	12.246	19snp	edge2.0	1.277	1488	0.4	837	2151	tolC.3000237.FJ768952.0_1488.563
reads	srst2	PmrE	PmrE.3003577.U00096.2098446-2099613.2116	98.715	9.219	35snp15holes	edge2.0	3.038	1167	0.375	323	1123	PmrE.3003577.U00096.2098446_2099613.2116
reads	srst2	parE-1	parE.3003316.NC-007779.3172159-3174052.2073	100.0	13.692	46snp		2.43	1893	0.333	731	2008	parE.3003316.NC_007779.3172159_3174052.2073
reads	srst2	Escherichia-coli-mutant	Escherichia-coli-mutant.3003890.HG738867.2934266-2935658.3667	100.0	11.33	8snp		0.575	1392	0.333	183	526	Escherichia_coli_mutant.3003890.HG738867.2934266_2935658.3667
reads	srst2	evgA	evgA.3000832.NC-002695.3211891-3212506.208	100.0	7.69	5snp		0.813	615	0.333	541	1798	evgA.3000832.NC_002695.3211891_3212506.208
reads	srst2	patA	patA.3000024.NC-000913.3.3219493-3220873.3692	100.0	11.713	2snp		0.145	1380	0.5	735	2012	patA.3000024.NC_000913.3.3219493_3220873.3692
reads	srst2	Escherichia-coli-mutant-1	Escherichia-coli-mutant.3003889.HG738867.2233288-2234647.3666	100.0	8.896	2snp		0.147	1359	0.25	184	525	Escherichia_coli_mutant.3003889.HG738867.2233288_2234647.3666
reads	srst2	mdtB	mdtB.3000793.U00096.2155262-2158385.215	100.0	13.376	33snp		1.057	3123	0.25	613	1881	mdtB.3000793.U00096.2155262_2158385.215
reads	srst2	adiY	adiY.3003828.NC-000913.3.4337167-4337929.3591	98.819	10.325	3snp9holes	edge0.0	0.398	762	0.133	410	1626	adiY.3003828.NC_000913.3.4337167_4337929.3591
reads	srst2	folP-1	folP.3003386.NC-007779.3323917-3324766.2056	100.0	9.547	8snp		0.942	849	0.3	549	1809	folP.3003386.NC_007779.3323917_3324766.2056
reads	srst2	arnA-1	arnA.3002985.U00096.2368038-2370021.355	99.546	10.5	34snp9holes	edge0.0	1.722	1983	0.5	425	1643	arnA.3002985.U00096.2368038_2370021.355
reads	srst2	Escherichia-coli-EF-Tu	Escherichia-coli-EF-Tu.3003368.AH002539.2.1760-2945.3531	100.0	26.701	8snp		0.675	1185	0.444	182	522	Escherichia_coli_EF_Tu.3003368.AH002539.2.1760_2945.3531
reads	srst2	kdpE	kdpE.3003841.NC-000913.3.721055-721733.3608	100.0	6.938	13snp		1.917	678	0.333	586	1851	kdpE.3003841.NC_000913.3.721055_721733.3608
reads	srst2	gyrA-7	gyrA.3003294.U00096.2336792-2339420.2052	100.0	11.525	34snp		1.294	2628	0.25	569	1821	gyrA.3003294.U00096.2336792_2339420.2052
reads	srst2	mdtG	mdtG.3001329.NC-007779.1115840-1117067.599	92.258	6.891	7snp95holes	edge1.0	0.618	1227	0.429	618	1886	mdtG.3001329.NC_007779.1115840_1117067.599
reads	srst2	mdtH	mdtH.3001216.U00096.1124117-1125326.120	97.436	8.946	23snp31holes	edge1.0	1.952	1209	0.125	619	1887	mdtH.3001216.U00096.1124117_1125326.120
reads	srst2	PmrF	PmrF.3003578.U00096.2367070-2368039.2115	100.0	9.652	6snp	edge2.0	0.619	969	0.273	324	1124	PmrF.3003578.U00096.2367070_2368039.2115
reads	srst2	mdtA	mdtA.3000792.U00096.2154015-2155263.15	99.679	8.998	26snp4indel		2.083	1248	0.5	612	1880	mdtA.3000792.U00096.2154015_2155263.15
reads	srst2	Pasteurella-multocida-16S	Pasteurella-multocida-16S.3003493.NC-002663.1.341427-342977.3252	93.875	53.012	124snp6indel90holes	edge0.0	8.487	1551	0.424	317	1117	Pasteurella_multocida_16S.3003493.NC_002663.1.341427_342977.3252
reads	srst2	baeR	baeR.3000828.NC-007779.2166412-2167135.676	100.0	10.432	17snp	edge1.0	2.351	723	0.182	433	1652	baeR.3000828.NC_007779.2166412_2167135.676
reads	srst2	msbA	msbA.3003950.NC-000913.3.966620-968369.3754	100.0	14.039	23snp		1.315	1749	0.4	677	1948	msbA.3003950.NC_000913.3.966620_968369.3754
reads	srst2	ompF	ompF.3003390.NC-007779.986315-987404.2075	100.0	13.933			0.0	1089	0.222	713	1988	ompF.3003390.NC_007779.986315_987404.2075
reads	srst2	mdtF	mdtF.3000796.U00096.3660413-3663527.286	100.0	12.833	46snp		1.477	3114	0.182	617	1885	mdtF.3000796.U00096.3660413_3663527.286
reads	srst2	mdtC	mdtC.3000794.U00096.2158385-2161463.257	100.0	12.345	40snp	edge1.5	1.3	3078	0.222	614	1882	mdtC.3000794.U00096.2158385_2161463.257
reads	srst2	mdfA	mdfA.3001328.JQ394987.0-1233.561	99.594	8.904	32snp5indel		2.595	1233	0.3	608	1876	mdfA.3001328.JQ394987.0_1233.561
reads	srst2	CRP	CRP.3000518.AP009048.4153663-4154296.461	100.0	10.05	3snp		0.474	633	0.1	122	302	CRP.3000518.AP009048.4153663_4154296.461
reads	srst2	gadW	gadW.3003838.CP015085.1.2551711-2552440.3599	100.0	7.249	42snp		5.761	729	0.143	555	1816	gadW.3003838.CP015085.1.2551711_2552440.3599
reads	srst2	nfsA	nfsA.3003751.NC-000913.3.891183-891906.3520	99.723	6.026	7snp2holes	edge0.0	0.971	723	0.2	702	1977	nfsA.3003751.NC_000913.3.891183_891906.3520
reads	srst2	cpxR	cpxR.3000831.NC-002695.4904931-4905630.142	100.0	11.474	4snp	edge2.0	0.572	699	0.111	489	1735	cpxR.3000831.NC_002695.4904931_4905630.142
reads	srst2	cpxA	cpxA.3000830.NC-002695.4903561-4904935.605	100.0	12.608	17snp		1.237	1374	0.3	488	1734	cpxA.3000830.NC_002695.4903561_4904935.605
reads	srst2	mdtD	mdtD.3001330.U00096.2161463-2162879.299	100.0	10.363	23snp	edge1.0	1.624	1416	0.4	615	1883	mdtD.3001330.U00096.2161463_2162879.299
reads	srst2	PmrB-1	PmrB.3003583.NC-007779.4336858-4337950.2119	100.0	14.575	8snp		0.733	1092	0.3	321	1121	PmrB.3003583.NC_007779.4336858_4337950.2119
reads	srst2	soxS-1	soxS.3003511.NC-000913.4277059-4277383.3528	99.691	6.571	1snp1holes		0.31	324	0.125	785	2091	soxS.3003511.NC_000913.4277059_4277383.3528
reads	srst2	soxR	soxR.3003381.U00096.4277468-4277933.2074	92.903	14.781	33holes	edge0.0	0.0	465	0.091	782	2088	soxR.3003381.U00096.4277468_4277933.2074
reads	srst2	bacA	bacA.3002986.U00096.3203309-3204131.36	99.757	9.211	12snp2holes	edge0.0	1.463	822	0.167	432	1651	bacA.3002986.U00096.3203309_3204131.36
reads	srst2	emrA	emrA.3000027.AP009048.2810082-2811255.411	100.0	10.697	19snp		1.62	1173	0.143	532	1789	emrA.3000027.AP009048.2810082_2811255.411
reads	srst2	emrK	emrK.3000206.D78168.536-1592.173	100.0	10.694	19snp	edge2.0	1.799	1056	0.3	537	1794	emrK.3000206.D78168.536_1592.173
reads	srst2	parC-2	parC.3003941.NC-004337.2.3159154-3161413.3742	100.0	13.093	16snp		0.708	2259	0.25	727	2005	parC.3003941.NC_004337.2.3159154_3161413.3742
reads	srst2	tetA	tetA.manually-added-NC-009345-WP-000804063.1-1230-2429	97.667	16.763	28holes	edge0.0	0.0	1200	0.143	809	2121	tetA.manually_added_NC_009345_WP_000804063.1_1230_2429
reads	srst2	emrD	emrD.3000309.GG749185.1.116812-118003.3622	100.0	13.827	17snp		1.427	1191	0.412	534	1791	emrD.3000309.GG749185.1.116812_118003.3622
reads	srst2	emrB	emrB.3000074.U00096.2812615-2814154.20	100.0	12.25	3snp		0.195	1539	0.273	533	1790	emrB.3000074.U00096.2812615_2814154.20
reads	srst2	alaS	alaS.3003830.NC-000913.3.2819380-2822011.3592	99.962	13.958	27snp1indel	edge1.0	1.026	2631	0.333	411	1627	alaS.3003830.NC_000913.3.2819380_2822011.3592
reads	srst2	PmrC	PmrC.3003576.AP009048.4338624-4340268.2117	100.0	15.686	14snp	edge2.0	0.852	1644	0.2	322	1122	PmrC.3003576.AP009048.4338624_4340268.2117
reads	srst2	leuO	leuO.3003843.NC-000913.3.84367-85312.3607	97.672	10.854	7snp22holes	edge0.0	0.758	945	0.333	587	1852	leuO.3003843.NC_000913.3.84367_85312.3607
reads	srst2	mdtE	mdtE.3000795.AP009048.3980025-3981183.753	100.0	14.909	9snp		0.777	1158	0.333	616	1884	mdtE.3000795.AP009048.3980025_3981183.753
reads	srst2	emrY	emrY.3000254.D78168.1591-3130.65	100.0	9.397	3snp	edge1.0	0.195	1539	0.4	539	1796	emrY.3000254.D78168.1591_3130.65
reads	srst2	tetR	tetR.manually-added-NC-009345-WP-000164043.1-474-1124	100.0	18.367			0.0	651	0.1	823	2139	tetR.manually_added_NC_009345_WP_000164043.1_474_1124
reads	srst2	emrR	emrR.3000516.NC-000913.3.2810769-2811300.3621	100.0	8.739			0.0	531	0.125	538	1795	emrR.3000516.NC_000913.3.2810769_2811300.3621
