Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
reads	srst2	PmrE	PmrE.3003577.U00096.2098446-2099613.2116	99.914	24.992	36snp1indel		3.085	1167	0.167	323	1123	PmrE.3003577.U00096.2098446_2099613.2116
reads	srst2	mdtL	mdtL.3001215.U00096.3891614-3892790.621	100.0	30.493	19snp		1.616	1176	0.095	621	1889	mdtL.3001215.U00096.3891614_3892790.621
reads	srst2	marA	marA.3000263.NC-007779.1621287-1621671.579	100.0	15.371	1snp		0.26	384	0.214	606	1874	marA.3000263.NC_007779.1621287_1621671.579
reads	srst2	leuO	leuO.3003843.NC-000913.3.84367-85312.3607	100.0	29.908	7snp		0.741	945	0.45	587	1852	leuO.3003843.NC_000913.3.84367_85312.3607
reads	srst2	gyrB-1	gyrB.3003303.AP009048.3760295-3762710.2063	100.0	35.059	23snp		0.952	2415	0.259	573	1835	gyrB.3003303.AP009048.3760295_3762710.2063
reads	srst2	gadE	gadE.3003834.NC-000913.3.3658365-3658893.3597	100.0	13.257			0.0	528	0.091	554	1815	gadE.3003834.NC_000913.3.3658365_3658893.3597
reads	srst2	rpoB	rpoB.3003288.NC-002695.4990140-4994169.2096	100.0	38.876	39snp		0.968	4029	0.167	760	2045	rpoB.3003288.NC_002695.4990140_4994169.2096
reads	srst2	gadX	gadX.3000508.NC-007779.3974604-3975429.615	100.0	24.764	17snp		2.061	825	0.429	556	1817	gadX.3000508.NC_007779.3974604_3975429.615
reads	srst2	rrsB+	rrsB.3003403.U00096.4166659-4168200.3238	100.0	233.971	5snp		0.324	1542	0.454	766	2061	rrsB.3003403.U00096.4166659_4168200.3238
reads	srst2	sat-1	sat-1.3002895.AB211124.0-525.584	100.0	24.437			0.0	525	0.059	768	2074	sat_1.3002895.AB211124.0_525.584
reads	srst2	mfd	mfd.3003844.NC-000913.3.1170517-1173964.3609	100.0	33.394	29snp		0.841	3447	0.162	661	1932	mfd.3003844.NC_000913.3.1170517_1173964.3609
