Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
reads	srst2	mdtN	mdtN.3003548.AP009048.4306556-4307588.3298	100.0	12.081	20snp	edge2.0	1.938	1032	0.2	623	1891	mdtN.3003548.AP009048.4306556_4307588.3298
reads	srst2	PmrE	PmrE.3003577.U00096.2098446-2099613.2116	100.0	12.224	36snp	edge1.0	3.085	1167	0.25	323	1123	PmrE.3003577.U00096.2098446_2099613.2116
reads	srst2	mdtL	mdtL.3001215.U00096.3891614-3892790.621	100.0	15.041	21snp		1.786	1176	0.125	621	1889	mdtL.3001215.U00096.3891614_3892790.621
reads	srst2	marA	marA.3000263.NC-007779.1621287-1621671.579	100.0	4.345	1snp	depth4.345	0.26	384	0.167	606	1874	marA.3000263.NC_007779.1621287_1621671.579
reads	srst2	mdtP	mdtP.3003550.AP009048.4303042-4304509.3303	100.0	12.313	31snp	edge2.0	2.113	1467	0.333	625	1893	mdtP.3003550.AP009048.4303042_4304509.3303
reads	srst2	mdtO	mdtO.3003549.AP009048.4304505-4306557.3300	100.0	13.382	40snp		1.949	2052	0.263	624	1892	mdtO.3003549.AP009048.4304505_4306557.3300
reads	srst2	gyrB-1	gyrB.3003303.AP009048.3760295-3762710.2063	100.0	17.103	22snp		0.911	2415	0.35	573	1835	gyrB.3003303.AP009048.3760295_3762710.2063
reads	srst2	gadE	gadE.3003834.NC-000913.3.3658365-3658893.3597	100.0	10.282		edge2.0	0.0	528	0.111	554	1815	gadE.3003834.NC_000913.3.3658365_3658893.3597
reads	srst2	rpoB	rpoB.3003288.NC-002695.4990140-4994169.2096	100.0	18.15	39snp		0.968	4029	0.143	760	2045	rpoB.3003288.NC_002695.4990140_4994169.2096
reads	srst2	gadX	gadX.3000508.NC-007779.3974604-3975429.615	100.0	15.464	17snp		2.061	825	0.5	556	1817	gadX.3000508.NC_007779.3974604_3975429.615
reads	srst2	rrsB+	rrnB.3003406.U00096.4166659-4168200.3237	100.0	100.432	5snp		0.324	1542	0.438	766	2050	rrnB.3003406.U00096.4166659_4168200.3237
reads	srst2	marR	marR.3003378.U00096.1619119-1619554.2097	100.0	4.92	10snp	edge1.0	2.299	435	0.5	607	1875	marR.3003378.U00096.1619119_1619554.2097
reads	srst2	mfd	mfd.3003844.NC-000913.3.1170517-1173964.3609	100.0	11.786	29snp	edge1.5	0.841	3447	0.267	661	1932	mfd.3003844.NC_000913.3.1170517_1173964.3609
reads	srst2	acrF	acrF.3000502.U00096.3415032-3418137.700	100.0	16.608	38snp	edge2.0	1.224	3105	0.3	393	1609	acrF.3000502.U00096.3415032_3418137.700
reads	srst2	acrE	acrE.3000499.U00096.3413863-3415021.333	100.0	14.047	14snp		1.209	1158	0.143	392	1608	acrE.3000499.U00096.3413863_3415021.333
reads	srst2	acrD	acrD.3000491.NC-007779.2586250-2589364.664	99.615	13.708	29snp12holes	edge0.0	0.935	3114	0.286	391	1607	acrD.3000491.NC_007779.2586250_2589364.664
