Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
reads	srst2	mdtN	mdtN.3003548.AP009048.4306556-4307588.3298	100.0	14.947	20snp		1.938	1032	0.083	623	1891	mdtN.3003548.AP009048.4306556_4307588.3298
reads	srst2	PmrE	PmrE.3003577.U00096.2098446-2099613.2116	100.0	14.191	37snp		3.171	1167	0.125	323	1123	PmrE.3003577.U00096.2098446_2099613.2116
reads	srst2	mdtL	mdtL.3001215.U00096.3891614-3892790.621	100.0	30.14	19snp		1.616	1176	0.1	621	1889	mdtL.3001215.U00096.3891614_3892790.621
reads	srst2	marA	marA.3000263.NC-007779.1621287-1621671.579	100.0	8.901	1snp		0.26	384	0.111	606	1874	marA.3000263.NC_007779.1621287_1621671.579
reads	srst2	mdtA	mdtA.3000792.U00096.2154015-2155263.15	99.519	13.251	27snp6indel		2.163	1248	0.375	612	1880	mdtA.3000792.U00096.2154015_2155263.15
reads	srst2	mdtP	mdtP.3003550.AP009048.4303042-4304509.3303	100.0	14.055	30snp		2.045	1467	0.125	625	1893	mdtP.3003550.AP009048.4303042_4304509.3303
reads	srst2	mdtO	mdtO.3003549.AP009048.4304505-4306557.3300	100.0	18.445	39snp		1.901	2052	0.167	624	1892	mdtO.3003549.AP009048.4304505_4306557.3300
reads	srst2	gyrB-1	gyrB.3003303.AP009048.3760295-3762710.2063	100.0	20.568	23snp		0.952	2415	0.15	573	1835	gyrB.3003303.AP009048.3760295_3762710.2063
reads	srst2	gadE	gadE.3003834.NC-000913.3.3658365-3658893.3597	100.0	7.72			0.0	528	0.143	554	1815	gadE.3003834.NC_000913.3.3658365_3658893.3597
reads	srst2	rpoB	rpoB.3003288.NC-002695.4990140-4994169.2096	100.0	21.353	39snp	edge2.0	0.968	4029	0.1	760	2045	rpoB.3003288.NC_002695.4990140_4994169.2096
reads	srst2	mgrB	mgrB.3003820.NC-000913.3.1908622-1908766.3586	100.0	4.703		depth4.703	0.0	144	0.2	664	1935	mgrB.3003820.NC_000913.3.1908622_1908766.3586
reads	srst2	rrsB+	rrsC.3003333.U00096.3941808-3943349.3229	100.0	165.108	2snp		0.13	1542	0.497	766	2070	rrsC.3003333.U00096.3941808_3943349.3229
reads	srst2	sat-1	sat-1.3002895.AB211124.0-525.584	100.0	14.646			0.0	525	0.1	768	2074	sat_1.3002895.AB211124.0_525.584
reads	srst2	mfd	mfd.3003844.NC-000913.3.1170517-1173964.3609	100.0	17.157	29snp		0.841	3447	0.111	661	1932	mfd.3003844.NC_000913.3.1170517_1173964.3609
reads	srst2	acrE	acrE.3000499.U00096.3413863-3415021.333	100.0	30.001	14snp		1.209	1158	0.143	392	1608	acrE.3000499.U00096.3413863_3415021.333
reads	srst2	acrD	acrD.3000491.NC-007779.2586250-2589364.664	100.0	17.548	28snp	edge1.0	0.899	3114	0.261	391	1607	acrD.3000491.NC_007779.2586250_2589364.664
reads	srst2	mdtH	mdtH.3001216.U00096.1124117-1125326.120	100.0	16.869	22snp	edge1.0	1.82	1209	0.1	619	1887	mdtH.3001216.U00096.1124117_1125326.120
reads	srst2	acrS	acrS.3000656.U00096.3412802-3413465.551	100.0	21.669	9snp		1.357	663	0.091	397	1613	acrS.3000656.U00096.3412802_3413465.551
reads	srst2	acrR-2	acrR.3003807.NC-000913.3.485760-486408.3575	100.0	12.354	3snp		0.463	648	0.056	396	1612	acrR.3003807.NC_000913.3.485760_486408.3575
reads	srst2	dfrA1	dfrA1.3002854.AJ400733.1.21-585.3594	100.0	14.754	4snp		0.709	564	0.273	495	1739	dfrA1.3002854.AJ400733.1.21_585.3594
reads	srst2	cysB	cysB.3003840.NC-000913.3.1333854-1334829.3604	100.0	11.628	7snp	edge2.0	0.718	975	0.1	490	1736	cysB.3003840.NC_000913.3.1333854_1334829.3604
reads	srst2	APH-3----Ib+	strA.manually-added-NC-009345-WP-001082319.1-6656-7459	100.0	57.055			0.0	804	0.033	87	2094	strA.manually_added_NC_009345_WP_001082319.1_6656_7459
reads	srst2	H-NS	H-NS.3000676.NC-002695.1737553-1737967.218	100.0	9.998	4snp	edge2.0	0.966	414	0.1	204	579	H_NS.3000676.NC_002695.1737553_1737967.218
reads	srst2	evgS	evgS.3000833.U00096.2484373-2487967.178	100.0	14.066	89snp		2.476	3594	0.2	542	1799	evgS.3000833.U00096.2484373_2487967.178
reads	srst2	murA-12	murA.3003775.CP009072.1414817-1416077.3548	100.0	20.437	19snp		1.508	1260	0.111	690	1971	murA.3003775.CP009072.1414817_1416077.3548
reads	srst2	tolC	tolC.3000237.FJ768952.0-1488.563	100.0	17.241	19snp		1.277	1488	0.091	837	2151	tolC.3000237.FJ768952.0_1488.563
reads	srst2	emrE-1	emrE.3000264.NC-007779.567537-567870.260	100.0	7.129	25snp	edge2.0	7.508	333	0.0	536	1793	emrE.3000264.NC_007779.567537_567870.260
reads	srst2	parC-2	parC.3003941.NC-004337.2.3159154-3161413.3742	100.0	18.476	18snp		0.797	2259	0.136	727	2005	parC.3003941.NC_004337.2.3159154_3161413.3742
reads	srst2	parE-1	parE.3003316.NC-007779.3172159-3174052.2073	100.0	16.541	47snp		2.483	1893	0.462	731	2008	parE.3003316.NC_007779.3172159_3174052.2073
reads	srst2	Escherichia-coli-mutant	Escherichia-coli-mutant.3003890.HG738867.2934266-2935658.3667	100.0	20.498	8snp		0.575	1392	0.2	183	526	Escherichia_coli_mutant.3003890.HG738867.2934266_2935658.3667
